name,platform,release_date,meta_score,user_review
Crash Bandicoot 4: It's About Time, PC,2021,83,51
Crash Team Racing: Nitro-Fueled, PlayStation 4,2019,83,69
Kingdom Hearts III, PlayStation 4,2019,83,80
WHAT THE GOLF?, PC,2019,83,79
NieR Replicant ver.1.22474487139..., PlayStation 4,2021,83,85
One Finger Death Punch 2, PC,2019,83,81
MLB The Show 20, PlayStation 4,2020,83,65
Sackboy: A Big Adventure, PlayStation 4,2020,83,83
Observer: System Redux, PC,2020,83,75
Little Nightmares II, PC,2021,83,82
Trials of Fire, PC,2021,83,69
Trials Rising, PC,2019,83,50
Yakuza: Like a Dragon, PC,2020,83,79
No Man's Sky Beyond, PlayStation 4,2019,83,82
Sunlight, PC,2021,83,54
Creaks, PlayStation 4,2020,83,73
Ape Out, PC,2019,83,67
Katana ZERO, PC,2019,83,89
Pathfinder: Wrath of the Righteous, PC,2021,83,75
World of Warcraft: Shadowlands, PC,2020,83,41
Spiritfarer, PlayStation 4,2020,83,78
I Expect You To Die 2: The Spy And The Liar, PC,2021,83,#¡VALOR!
Kena: Bridge of Spirits, PC,2021,83,78
Hypnospace Outlaw, PC,2019,83,67
Disc Room, PC,2020,83,75
Resident Evil Village, PC,2021,83,84
Demeo, PC,2021,83,82
Tales From Off-Peak City Vol. 1, PC,2020,83,81
Crown Trick, PC,2020,83,76
VA-11 Hall-A: Cyberpunk Bartender Action, PlayStation 4,2019,83,72
Life is Strange: True Colors, PlayStation 4,2021,82,69
Command & Conquer Remastered Collection, PC,2020,82,87
Freedom Finger, PlayStation 4,2020,82,76
Street Fighter V: Champion Edition, PlayStation 4,2020,82,60
Sayonara Wild Hearts, PlayStation 4,2019,82,67
Chivalry 2, PC,2021,82,52
Wreckfest, PlayStation 4,2019,82,70
Outer Wilds, PlayStation 4,2019,82,77
Kaze and the Wild Masks, PC,2021,82,76
Katamari Damacy REROLL, PlayStation 4,2020,82,60
Sam & Max Save the World Remastered, PC,2020,82,46
Yakuza 5 Remastered, PlayStation 4,2020,82,79
SnowRunner, PC,2020,82,66
Yakuza 6: The Song of Life, PC,2021,82,84
Tom Clancy's The Division 2, PlayStation 4,2019,82,62
Pistol Whip, PC,2019,82,77
Mortal Kombat 11, PC,2019,82,32
One Step From Eden, PC,2020,82,87
Yooka-Laylee and the Impossible Lair, PlayStation 4,2019,82,70
Yakuza Kiwami 2, PC,2019,82,84
Desperados III, PlayStation 4,2020,82,78
Eastward, PC,2021,82,72
The Great Ace Attorney Chronicles, PlayStation 4,2021,82,60
Assassin's Creed Valhalla, PC,2020,82,74
Sairento VR, PlayStation 4,2019,82,61
Metro Exodus, PC,2019,82,72
The Outer Worlds, PC,2019,82,73
Huntdown, PlayStation 4,2020,82,75
The Ramp, PC,2021,82,#¡VALOR!
Batbarian: Testament of the Primordials, PC,2020,82,87
Death Stranding, PlayStation 4,2019,82,73
Life is Strange: True Colors, PC,2021,82,67
Creaks, PC,2020,82,82
Subnautica: Below Zero, PC,2021,82,63
Mortal Kombat 11, PlayStation 4,2019,82,37
The Sims 4: Eco Lifestyle, PC,2020,82,33
Little Nightmares II, PlayStation 4,2021,82,85
Control, PlayStation 4,2019,82,72
Life is Strange 2: Episode 4 - Faith, PC,2019,82,48
eFootball PES 2020, PlayStation 4,2019,82,75
Streets of Rage 4, PlayStation 4,2020,82,81
Two Point Hospital, PlayStation 4,2020,82,71
GRIS, PlayStation 4,2019,82,82
Tainted Grail: Conquest, PC,2021,82,76
Paradise Killer, PC,2020,82,77
Filament, PC,2020,82,76
Children of Morta, PC,2019,82,83
The Legend of Heroes: Trails of Cold Steel III, PlayStation 4,2019,82,86
The Walking Dead: The Telltale Definitive Series, PlayStation 4,2019,82,76
Tales of Arise, PlayStation 4,2021,82,85
Monster Hunter Stories 2: Wings of Ruin, PC,2021,82,77
Chicken Police - Paint it RED!, PC,2020,82,77
The Messenger, PlayStation 4,2019,82,79
Gears 5, PC,2019,82,69
Wargroove, PC,2019,82,60
Sakuna: Of Rice and Ruin, PC,2020,82,72
Doki Doki Literature Club Plus!, PC,2021,82,86
Loop Hero, PC,2021,82,82
Life is Strange 2: Episode 5 - Wolves, PlayStation 4,2019,82,63
Old World, PC,2021,82,88
Cyber Shadow, PC,2021,82,70
Pixel Ripped 1995, PlayStation 4,2020,82,66
A Plague Tale: Innocence, PlayStation 4,2019,81,85
World of Warcraft Classic, PC,2019,81,64
Yuppie Psycho, PC,2019,81,82
Star Wars Pinball VR, PC,2021,81,#¡VALOR!
GRIME, PC,2021,81,79
Fuser, PlayStation 4,2020,81,72
The Great Ace Attorney Chronicles, PC,2021,81,61
The Sims 4: Discover University, PC,2019,81,46
Remnant: From the Ashes - Swamps of Corsus, PC,2020,81,71
Star Wars Jedi: Fallen Order, PC,2019,81,79
Ghostrunner, PC,2020,81,83
Hunt: Showdown, PlayStation 4,2020,81,70
Frog Detective 2: The Case of the Invisible Wizard, PC,2019,81,82
The Elder Scrolls Online: Dragonhold, PC,2019,81,46
Irony Curtain: From Matryoshka with Love, PC,2019,81,79
Unruly Heroes, PC,2019,81,63
Stygian: Reign of the Old Ones, PC,2019,81,80
MORDHAU, PC,2019,81,78
The Pedestrian, PC,2020,81,76
The Sims 4: Cottage Living, PC,2021,81,#¡VALOR!
Suzerain, PC,2020,81,79
Bloodroots, PlayStation 4,2020,81,64
Boomerang X, PC,2021,81,70
Stormland, PC,2019,81,75
Samurai Shodown, PlayStation 4,2019,81,78
Overboard!, PC,2021,81,#¡VALOR!
Silicon Dreams, PC,2021,81,#¡VALOR!
Hunt: Showdown, PC,2019,81,72
Catherine: Full Body, PlayStation 4,2019,81,81
Borderlands 3, PC,2019,81,53
SnowRunner, PlayStation 4,2020,81,68
CrossCode, PlayStation 4,2020,81,74
The Walking Dead: Saints & Sinners, PC,2020,81,80
The Legend of Heroes: Trails of Cold Steel IV, PlayStation 4,2020,81,87
Halo: Reach Remastered, PC,2019,81,73
Visage, PC,2020,81,#¡VALOR!
Anno 1800, PC,2019,81,79
Call of Duty: Modern Warfare, PC,2019,81,25
Resident Evil Village, PlayStation 4,2021,81,82
Genshin Impact, PlayStation 4,2020,81,46
Planet Zoo, PC,2019,81,79
The Vale: Shadow of the Crown, PC,2021,81,#¡VALOR!
The Pathless, PC,2020,81,76
My Friend Pedro, PC,2019,81,80
Necrobarista, PC,2020,81,62
Tales of Vesperia: Definitive Edition, PlayStation 4,2019,81,75
Baldur's Gate and Baldur's Gate II: Enhanced Editions, PlayStation 4,2019,81,63
Yooka-Laylee and the Impossible Lair, PC,2019,81,63
Atelier Ryza 2: Lost Legends & the Secret Fairy, PlayStation 4,2021,81,75
A Plague Tale: Innocence, PC,2019,81,85
Creature in the Well, PlayStation 4,2020,81,67
Trine 4: The Nightmare Prince, PC,2019,81,80
Age of Wonders: Planetfall, PC,2019,81,76
L.A. Noire: The VR Case Files, PlayStation 4,2019,81,70
Horace, PC,2019,81,73
Fall Guys: Ultimate Knockout, PlayStation 4,2020,81,70
Void Bastards, PC,2019,81,74
WRC 9 FIA World Rally Championship, PlayStation 4,2020,81,60
Final Fantasy VIII Remastered, PlayStation 4,2019,80,71
Gears Tactics, PC,2020,80,76
Dark Deity, PC,2021,80,65
Phoenix Wright: Ace Attorney Trilogy, PC,2019,80,87
The Last Campfire, PC,2020,80,84
The Elder Scrolls Online: Elsweyr, PC,2019,80,80
Unsighted, PC,2021,80,77
Detroit: Become Human, PC,2019,80,77
Skul: The Hero Slayer, PC,2021,80,65
Mutazione, PC,2019,80,73
SpellForce 3: Soul Harvest, PC,2019,80,83
