name,platform,release_date,meta_score,user_review
Madden NFL 20, PlayStation 4,2019,76,14
Eldest Souls, PC,2021,76,65
The Outer Worlds: Murder on Eridanos, PC,2021,76,70
Noita, PC,2020,76,81
Minoria, PlayStation 4,2020,76,70
The Surge 2, PC,2019,76,62
Control: AWE, PlayStation 4,2020,76,68
Room to Grow, PC,2021,76,#¡VALOR!
The Survivalists, PlayStation 4,2020,76,66
Neo Cab, PC,2019,76,53
Broken Lines, PC,2020,76,71
Cat Quest II: The Lupus Empire, PC,2019,76,74
Heaven's Vault, PC,2019,76,60
Pumpkin Jack, PlayStation 4,2021,76,72
Days Gone, PC,2021,76,86
Borderlands: Game of the Year Edition, PlayStation 4,2019,76,65
Beyond: Two Souls, PC,2019,76,77
Panzer Paladin, PC,2020,76,#¡VALOR!
Field of Glory: Empires, PC,2019,76,69
New Super Lucky's Tale, PlayStation 4,2020,76,57
Behind the Frame: The Finest Scenery, PC,2021,76,86
Insurmountable, PC,2021,76,#¡VALOR!
Call of Duty: Black Ops Cold War, PlayStation 4,2020,76,34
Stirring Abyss, PC,2020,76,68
Mortal Shell, PlayStation 4,2020,76,72
Wraith: The Oblivion - Afterlife, PC,2021,76,78
Post Void, PC,2020,76,76
Utawarerumono: Prelude to the Fallen, PlayStation 4,2020,76,59
Feudal Alloy, PC,2019,76,74
The Wild At Heart, PC,2021,76,71
Journey to the Savage Planet, PC,2020,76,67
Far Cry 6, PC,2021,76,39
Destiny 2: Beyond Light, PlayStation 4,2020,76,39
The Sims 4: Paranormal Stuff Pack, PC,2021,76,#¡VALOR!
Maskmaker, PC,2021,76,#¡VALOR!
Curious Expedition 2, PC,2021,76,70
Shin Megami Tensei III: Nocturne HD Remaster, PlayStation 4,2021,76,78
The Wonderful 101: Remastered, PlayStation 4,2020,76,64
Scott Pilgrim vs. the World: The Game - Complete Edition, PlayStation 4,2021,75,64
Black Book, PC,2021,75,86
DOOM 64, PlayStation 4,2020,75,71
The Surge 2, PlayStation 4,2019,75,71
Vigil: The Longest Night, PC,2020,75,77
We. The Revolution, PC,2019,75,72
Unruly Heroes, PlayStation 4,2019,75,70
Earth Defense Force: World Brothers, PlayStation 4,2021,75,#¡VALOR!
Scott Pilgrim vs. the World: The Game - Complete Edition, PC,2021,75,61
OMNO, PC,2021,75,69
The Dark Pictures Anthology: Man of Medan, PC,2019,75,65
Samurai Warriors 5, PlayStation 4,2021,75,73
Descenders, PlayStation 4,2020,75,48
Defector, PC,2019,75,39
Deemo Reborn, PlayStation 4,2019,75,76
The Climb 2, PC,2021,75,#¡VALOR!
One Piece: Pirate Warriors 4, PlayStation 4,2020,75,77
God's Trigger, PC,2019,75,82
Life is Strange 2: Episode 3 - Wastelands, PlayStation 4,2019,75,54
Ys: Memories of Celceta, PlayStation 4,2020,75,73
Atelier Ryza: Ever Darkness & the Secret Hideout, PlayStation 4,2019,75,81
New World, PC,2021,75,41
Etherborn, PlayStation 4,2019,75,75
Atelier Mysterious Trilogy Deluxe Pack, PlayStation 4,2021,75,#¡VALOR!
LUNA The Shadow Dust, PC,2020,75,70
Amnesia: Rebirth, PlayStation 4,2020,75,65
Field of Glory II: Medieval, PC,2021,75,73
Beyond Blue, PlayStation 4,2020,75,83
Need for Speed: Hot Pursuit Remastered, PC,2020,75,43
Evan's Remains, PC,2020,75,#¡VALOR!
"Yes, Your Grace", PC,2020,75,78
Fate/Extella Link, PlayStation 4,2019,75,66
Below, PlayStation 4,2020,75,41
Dragon Star Varnir, PlayStation 4,2019,75,71
Legend of Keepers: Career of a Dungeon Manager, PC,2021,75,#¡VALOR!
Evil Genius 2: World Domination, PC,2021,75,49
Project Wingman, PC,2020,75,85
The Medium, PC,2021,75,72
The Elder Scrolls Online: Blackwood, PC,2021,75,45
Mortal Kombat 11: Aftermath, PlayStation 4,2020,75,62
The Room VR: A Dark Matter, PlayStation 4,2020,75,63
Crying Suns, PC,2019,75,77
Heavy Rain, PC,2019,75,74
Patapon 2 Remastered, PlayStation 4,2020,75,70
PHOGS!, PC,2020,75,#¡VALOR!
Concrete Genie, PlayStation 4,2019,75,81
Afterparty, PC,2019,75,68
Need for Speed: Hot Pursuit Remastered, PlayStation 4,2020,75,45
Carto, PlayStation 4,2020,75,63
The Ninja Saviors: Return of the Warriors, PlayStation 4,2019,75,64
My Time At Portia, PlayStation 4,2019,75,52
Total War: Rome Remastered, PC,2021,75,54
Age of Empires III: Definitive Edition, PC,2020,75,57
Encased: a sci-fi post-apocalyptic RPG, PC,2021,75,78
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back, PlayStation 4,2019,75,74
A Total War Saga: TROY, PC,2020,75,60
Borderlands 3: Moxxi's Heist of the Handsome Jackpot, PC,2019,75,59
Observation, PlayStation 4,2019,75,64
Iron Harvest, PC,2020,75,65
Coffee Talk, PC,2020,75,76
Attack on Titan 2: Final Battle, PlayStation 4,2019,75,51
Phantom: Covert Ops, PC,2020,75,84
Chernobylite, PC,2021,75,81
Mundaun, PlayStation 4,2021,75,71
Tell Me Why, PC,2020,75,52
Carrion, PC,2020,75,79
Ion Fury, PlayStation 4,2020,75,68
VirtuaVerse, PC,2020,75,78
Crysis Remastered Trilogy, PlayStation 4,2021,74,#¡VALOR!
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys, PC,2019,74,76
Romancing SaGa 3, PlayStation 4,2019,74,63
Everybody's Golf VR, PlayStation 4,2019,74,78
Castlevania Anniversary Collection, PlayStation 4,2019,74,54
Rad, PlayStation 4,2019,74,67
Assassin's Creed Valhalla: Wrath of the Druids, PC,2021,74,61
Death end re;Quest 2, PlayStation 4,2020,74,67
Dark Nights with Poe and Munro, PC,2020,74,53
Neversong, PC,2020,74,77
"Warhammer 40,000: Battlesector", PC,2021,74,78
Superliminal, PC,2019,74,78
Song of Horror, PC,2019,74,73
Ring of Pain, PC,2020,74,76
Pendragon, PC,2020,74,#¡VALOR!
PGA Tour 2K21, PC,2020,74,67
Biped, PC,2020,74,76
Trackmania, PC,2020,74,42
Black Future '88, PC,2019,74,71
Strangeland, PC,2021,74,74
Kingdom Hearts: Melody of Memory, PlayStation 4,2020,74,74
Phoenix Point, PC,2019,74,58
Ancestors Legacy, PlayStation 4,2019,74,70
Moving Out, PlayStation 4,2020,74,78
GRID, PC,2019,74,52
Lost Words: Beyond the Page, PC,2021,74,82
Saints Row: The Third Remastered, PlayStation 4,2020,74,68
FIFA 21, PC,2020,74,12
Neon Abyss, PC,2020,74,62
Wattam, PC,2019,74,66
Zombie Army 4: Dead War, PC,2019,74,46
Dawn of Man, PC,2019,74,74
Gibbous - A Cthulhu Adventure, PC,2019,74,64
Fuser, PC,2020,74,67
Relicta, PC,2020,74,66
Lost Words: Beyond the Page, PlayStation 4,2021,74,54
El Hijo - A Wild West Tale, PC,2020,74,75
Lapis x Labyrinth, PlayStation 4,2019,74,50
Journey to the Savage Planet, PlayStation 4,2020,74,70
Fort Triumph, PC,2020,74,74
Narita Boy, PC,2021,74,71
Pathfinder: Kingmaker - Definitive Edition, PlayStation 4,2020,74,54
Pikuniku, PC,2019,74,72
TT Isle of Man: Ride On The Edge 2, PlayStation 4,2020,74,57
RIDE 4, PlayStation 4,2020,74,68
198X, PlayStation 4,2019,74,59
Darwin Project, PC,2020,74,68
In Other Waters, PC,2020,74,55
Contra Anniversary Collection, PlayStation 4,2019,74,60
Darius Cozmic Collection: Arcade, PlayStation 4,2020,74,39
John Wick Hex, PC,2019,74,44
Samurai Warriors 5, PC,2021,74,75
Project Warlock, PlayStation 4,2020,74,49
Tom Clancy's The Division 2: Warlords of New York, PlayStation 4,2020,74,11
The Beast Inside, PC,2019,74,76
Nebuchadnezzar, PC,2021,74,57
The Outer Worlds: Peril on Gorgon, PC,2020,74,65
Dungeon Defenders: Awakened, PC,2020,74,73
Sonic Colors: Ultimate, PlayStation 4,2021,74,51
Partisans 1941, PC,2020,74,75
The Elder Scrolls Online: Elsweyr, PlayStation 4,2019,74,49
SNK 40th Anniversary Collection, PlayStation 4,2019,74,62
Far Cry New Dawn, PC,2019,73,39
Leisure Suit Larry: Wet Dreams Dry Twice, PC,2020,73,59
Phoenix Point: Behemoth Edition, PlayStation 4,2021,73,#¡VALOR!
Control: AWE, PC,2020,73,64
Toodee and Topdee, PC,2021,73,86
Final Fantasy VIII Remastered, PC,2019,73,56
MechWarrior 5: Mercenaries, PC,2019,73,53
Wasteland 3: The Battle of Steeltown, PC,2021,73,#¡VALOR!
The Legend of Bum-bo, PC,2019,73,64
Life is Strange 2: Episode 2 - Rules, PlayStation 4,2019,73,50
Nowhere Prophet, PC,2019,73,59
No Longer Home, PC,2021,73,#¡VALOR!
Cris Tales, PC,2021,73,78
Onimusha: Warlords, PlayStation 4,2019,73,66
R-Type Final 2, PlayStation 4,2021,73,61
Cricket 19, PlayStation 4,2019,73,79
Lightmatter, PC,2020,73,77
GRID, PlayStation 4,2019,73,59
Cloudpunk, PC,2020,73,77
The Elder Scrolls Online: Greymoor, PC,2020,73,49
Dragon Ball Z: Kakarot, PC,2020,73,76
Tribes of Midgard, PC,2021,73,79
Xuan-Yuan Sword 7, PlayStation 4,2021,73,66
Medieval Dynasty, PC,2021,73,74
Vaporum, PlayStation 4,2019,73,44
Dead or Alive 6, PC,2019,73,49
Destiny 2: Shadowkeep, PlayStation 4,2019,73,56
Rocket Arena, PC,2020,73,49
Watch Dogs: Legion - Bloodline, PC,2021,73,82
Minute of Islands, PC,2021,73,#¡VALOR!
BPM: Bullets Per Minute, PC,2020,73,82
Destiny 2: Beyond Light, PC,2020,73,41
Oddworld: Soulstorm, PC,2021,73,62
The Eternal Castle Remastered, PC,2019,73,67
Iron Danger, PC,2020,73,78
Steel Division 2, PC,2019,73,71
eFootball PES 2021, PlayStation 4,2020,73,52
My Time At Portia, PC,2019,73,69
112 Operator, PC,2020,73,74
Star Ocean: First Departure R, PlayStation 4,2019,73,65
Marvel's Iron Man VR, PlayStation 4,2020,73,63
Dragon Ball Z: Kakarot, PlayStation 4,2020,73,79
RAGE 2, PC,2019,73,55
Greak: Memories of Azur, PC,2021,73,#¡VALOR!
The Ascent, PC,2021,73,79
Outriders, PC,2021,73,57
Draugen, PC,2019,73,68
Ninja Gaiden: Master Collection, PlayStation 4,2021,73,54
Arcade Spirits, PlayStation 4,2020,73,#¡VALOR!
Haven, PC,2020,73,78
The Dark Pictures Anthology: Little Hope, PC,2020,73,69
Minoria, PC,2019,73,72
WRC 10 FIA World Rally Championship, PC,2021,73,43
Sludge Life, PC,2020,73,71
Sniper Ghost Warrior Contracts 2, PC,2021,73,74
Sakura Wars, PlayStation 4,2020,73,74
The Elder Scrolls Online: Greymoor, PlayStation 4,2020,73,59
Heroland, PlayStation 4,2019,73,#¡VALOR!
Sparklite, PlayStation 4,2019,72,59
Mundaun, PC,2021,72,64
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck, PC,2020,72,44
NHL 21, PlayStation 4,2020,72,22
Bugsnax, PC,2020,72,75
No Straight Roads, PC,2020,72,75
Zombie Army 4: Dead War, PlayStation 4,2020,72,62
Legend of Mana Remastered, PlayStation 4,2021,72,68
Monster Energy Supercross - The Official Videogame 2, PlayStation 4,2019,72,54
The Blackout Club, PlayStation 4,2019,72,66
Team Sonic Racing, PlayStation 4,2019,72,73
Backbone, PC,2021,72,64
Need for Speed Heat, PlayStation 4,2019,72,61
Assassin's Creed III Remastered, PlayStation 4,2019,72,47
GreedFall, PlayStation 4,2019,72,77
TOHU, PC,2021,72,60
Dark Devotion, PlayStation 4,2019,72,60
Mafia II: Definitive Edition, PC,2020,72,53
Kingdoms of Amalur: Re-Reckoning, PlayStation 4,2020,72,70
Beyond Blue, PC,2020,72,69
Rock of Ages 3: Make & Break, PC,2020,72,52
FIFA 21, PlayStation 4,2020,72,8
Gamedec, PC,2021,72,75
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles, PlayStation 4,2021,72,#¡VALOR!
Before We Leave, PC,2021,72,72
Spellbreak, PlayStation 4,2020,72,76
"Borderlands 3: Guns, Love, and Tentacles", PC,2020,72,61
Immortals Fenyx Rising: The Lost Gods, PC,2021,72,27
Dark Devotion, PC,2019,72,75
They Are Billions, PlayStation 4,2019,72,56
Immortals Fenyx Rising: A New God, PC,2021,72,32
Outriders, PlayStation 4,2021,72,47
Dead or Alive 6, PlayStation 4,2019,72,53
DIRT 5, PC,2020,72,42
Watch Dogs: Legion, PC,2020,72,55
GreedFall, PC,2019,72,75
El Hijo: A Wild West Tale, PlayStation 4,2021,72,#¡VALOR!
Carto, PC,2020,72,78
Need for Speed Heat, PC,2019,72,55
Code Vein, PC,2019,72,76
SIMULACRA, PlayStation 4,2019,72,35
Zanki Zero: Last Beginning, PlayStation 4,2019,72,59
Turnip Boy Commits Tax Evasion, PC,2021,72,67
Wattam, PlayStation 4,2019,72,65
Endzone: A World Apart, PC,2021,72,69
Daemon X Machina, PC,2020,72,72
Pumpkin Jack, PC,2020,71,76
Brigandine: The Legend of Runersia, PlayStation 4,2020,71,74
El Shaddai ASCENSION OF THE METATRON, PC,2021,71,#¡VALOR!
Mighty Goose, PC,2021,71,#¡VALOR!
Ninja Gaiden: Master Collection, PC,2021,71,38
Shakedown Hawaii, PC,2019,71,46
Lake, PC,2021,71,63
ASTRONEER, PC,2019,71,72
God's Trigger, PlayStation 4,2019,71,75
The Dark Pictures Anthology: Little Hope, PlayStation 4,2020,71,64
Hotshot Racing, PC,2020,71,70
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution, PlayStation 4,2020,71,57
God Eater 3, PC,2019,71,62
Mutropolis, PC,2021,71,79
The Longest Road on Earth, PC,2021,71,73
Operation: Tango, PC,2021,71,77
9 Monkeys of Shaolin, PlayStation 4,2020,71,64
Far Cry New Dawn, PlayStation 4,2019,71,43
Days Gone, PlayStation 4,2019,71,84
Nioh 2: The First Samurai, PlayStation 4,2020,71,70
Leisure Suit Larry: Wet Dreams Don't Dry, PlayStation 4,2019,71,70
Mutant Year Zero: Road to Eden - Seed of Evil, PC,2019,71,64
Death end re;Quest, PlayStation 4,2019,71,78
Fairy Tail, PlayStation 4,2020,71,58
Rad, PC,2019,71,58
The Dungeon of Naheulbeuk: The Amulet of Chaos, PC,2020,71,81
Hoa, PC,2021,71,84
9 Monkeys of Shaolin, PC,2020,71,73
Willy Morgan and the Curse of Bone Town, PC,2020,71,63
SD Gundam G Generation Cross Rays, PC,2019,71,78
Felix the Reaper, PC,2019,71,74
Melbits World, PlayStation 4,2019,71,66
God Eater 3, PlayStation 4,2019,71,74
Rogue Lords, PC,2021,71,44
Morbid: The Seven Acolytes, PC,2020,71,53
Cozy Grove, PC,2021,71,59
Cozy Grove, PlayStation 4,2021,71,50
Call of Duty: Modern Warfare 2 Campaign Remastered, PlayStation 4,2020,71,73
The Hong Kong Massacre, PlayStation 4,2019,71,60
Breathedge, PC,2021,71,74
Assetto Corsa Competizione, PlayStation 4,2020,71,54
Olympic Games Tokyo 2020: The Official Video Game, PlayStation 4,2021,71,49
Relicta, PlayStation 4,2020,71,62
Destroy All Humans!, PC,2020,71,78
Shantae and the Seven Sirens, PlayStation 4,2020,71,57
The Sojourn, PlayStation 4,2019,71,67
Fracked, PlayStation 4,2021,71,#¡VALOR!
Through the Darkest of Times, PC,2020,71,61
Heaven's Vault, PlayStation 4,2019,71,48
The Sinking City, PC,2019,71,59
Sniper Ghost Warrior Contracts, PC,2019,71,67
Naraka: Bladepoint, PC,2021,71,75
Dice Legacy, PC,2021,71,#¡VALOR!
Afterparty, PlayStation 4,2019,70,68
DARQ, PC,2019,70,78
A Fisherman's Tale, PlayStation 4,2019,70,57
Sparklite, PC,2019,70,64
Last Stop, PC,2021,70,68
Layers of Fear 2, PC,2019,70,63
Lost Ember, PlayStation 4,2019,70,70
Maquette, PC,2021,70,47
Pacer, PC,2020,70,60
Re:Turn - One Way Trip, PC,2020,70,74
Maneater, PC,2020,70,66
Code Vein, PlayStation 4,2019,70,78
Cotton Reboot!, PlayStation 4,2021,70,#¡VALOR!
Vampire: The Masquerade - Coteries of New York, PC,2019,70,74
Turrican Flashback, PlayStation 4,2021,70,50
Mage's Initiation: Reign of the Elements, PC,2019,70,79
Tech Support: Error Unknown, PC,2019,70,51
Degrees of Separation, PlayStation 4,2019,70,60
Minecraft Dungeons, PC,2020,70,65
Saints Row: The Third Remastered, PC,2020,70,65
NASCAR Heat 4, PlayStation 4,2019,70,54
World War Z, PC,2019,70,59
Gods Will Fall, PC,2021,70,53
Immortal Realms: Vampire Wars, PC,2020,70,54
No Straight Roads, PlayStation 4,2020,70,68
Beyond A Steel Sky, PC,2020,70,71
The Invisible Hand, PC,2021,70,#¡VALOR!
Root Film, PlayStation 4,2021,70,#¡VALOR!
Disjunction, PlayStation 4,2021,70,#¡VALOR!
The Sims 4: Star Wars - Journey to Batuu, PC,2020,70,10
Radical Rabbit Stew, PlayStation 4,2020,70,66
TT Isle of Man: Ride On The Edge 2, PC,2020,70,66
Ancestors: The Humankind Odyssey, PlayStation 4,2019,70,59
Super Meat Boy Forever, PC,2020,70,42
Kingdoms of Amalur: Re-Reckoning, PC,2020,70,67
Blue Fire, PC,2021,70,72
Mosaic, PC,2019,70,63
Watch Dogs: Legion, PlayStation 4,2020,70,54
Project CARS 3, PlayStation 4,2020,70,37
Destroy All Humans!, PlayStation 4,2020,70,80
Boyfriend Dungeon, PC,2021,70,52
Raji: An Ancient Epic, PC,2020,70,77
Warriors Orochi 4 Ultimate, PlayStation 4,2020,70,58
Falcon Age, PlayStation 4,2019,70,57
Minute of Islands, PlayStation 4,2021,70,#¡VALOR!
Biped, PlayStation 4,2020,70,79
Coffee Talk, PlayStation 4,2020,70,63
The Solitaire Conspiracy, PC,2020,70,70
The Angry Birds Movie 2 VR: Under Pressure, PlayStation 4,2019,70,77
The Outer Worlds: Peril on Gorgon, PlayStation 4,2020,70,65
NUTS, PC,2021,70,56
As Far As The Eye, PC,2020,70,71
Monster Energy Supercross - The Official Videogame 3, PlayStation 4,2020,70,59
Surgeon Simulator 2: Access All Areas, PC,2020,70,63
Blair Witch, PC,2019,69,63
The Dark Pictures Anthology: Man of Medan, PlayStation 4,2019,69,57
Wolfenstein: Youngblood, PC,2019,69,23
Chocobo's Mystery Dungeon: Every Buddy!, PlayStation 4,2019,69,69
West of Dead, PC,2020,69,61
ActRaiser Renaissance, PlayStation 4,2021,69,73
Ikenfell, PC,2020,69,73
Here Be Dragons, PC,2019,69,80
Fallout 76: Wastelanders, PC,2020,69,59
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated, PC,2020,69,87
Hitman HD Enhanced Collection, PlayStation 4,2019,69,31
Darkestville Castle, PlayStation 4,2020,69,#¡VALOR!
Banner of the Maid, PC,2019,69,82
The Liar Princess and the Blind Prince, PlayStation 4,2019,69,63
Rebel Cops, PC,2019,69,67
Crysis Remastered, PC,2020,69,35
Sword of the Necromancer, PC,2021,69,75
Twin Breaker: A Sacred Symbols Adventure, PlayStation 4,2020,69,74
Captain Tsubasa: Rise of New Champions, PlayStation 4,2020,69,73
Ultra Age, PlayStation 4,2021,69,72
Monster Truck Championship, PlayStation 4,2020,69,38
The Survivalists, PC,2020,69,59
Metamorphosis, PC,2020,69,79
Edna & Harvey: The Breakout - 10th Anniversary Edition, PlayStation 4,2020,69,#¡VALOR!
The Mage's Tale, PlayStation 4,2019,69,50
Aliens: Fireteam Elite, PC,2021,69,57
Warhammer: Chaosbane, PC,2019,69,50
Pathologic 2, PC,2019,69,88
Oninaki, PlayStation 4,2019,69,57
Assassin's Creed Valhalla: The Siege of Paris, PC,2021,69,70
Tannenberg, PC,2019,69,76
AO Tennis 2, PlayStation 4,2020,69,65
SIMULACRA 2, PC,2020,69,75
Shenmue III, PC,2019,69,61
Moons of Madness, PC,2019,69,55
Overland, PC,2019,69,66
Earth Defense Force: Iron Rain, PlayStation 4,2019,69,52
Out of Line, PC,2021,69,81
Ghosts 'n Goblins Resurrection, PlayStation 4,2021,69,73
Onee Chanbara ORIGIN, PlayStation 4,2020,69,72
Maid of Sker, PC,2020,69,70
Romance of the Three Kingdoms XIV, PlayStation 4,2020,69,64
Sea of Solitude, PlayStation 4,2019,69,61
Recompile, PC,2021,69,55
Vader Immortal: A Star Wars VR Series, PlayStation 4,2020,69,52
Erica, PlayStation 4,2019,69,69
Skate City, PlayStation 4,2021,69,#¡VALOR!
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated, PlayStation 4,2020,68,90
Maneater, PlayStation 4,2020,68,73
Layers of Fear 2, PlayStation 4,2019,68,62
Monster Energy Supercross - The Official Videogame 4, PC,2021,68,#¡VALOR!
The Signifier, PC,2020,68,71
Night Call, PC,2019,68,56
NBA 2K21, PlayStation 4,2020,68,8
Hyper Scape, PC,2020,68,41
Espire 1: VR Operative, PC,2019,68,75
Stela, PC,2020,68,59
The Hong Kong Massacre, PC,2019,68,53
Kill la Kill: IF, PlayStation 4,2019,68,64
The Shattering, PC,2020,68,64
My Hero One's Justice 2, PlayStation 4,2020,68,45
Kill It With Fire, PC,2020,68,72
The Wizards: Enhanced Edition, PlayStation 4,2019,68,60
Spacebase Startopia, PC,2021,68,27
Project CARS 3, PC,2020,68,33
GORN, PlayStation 4,2020,68,50
King of Seas, PC,2021,68,75
Pathway, PC,2019,68,64
Astria Ascending, PC,2021,68,48
Doraemon: Story of Seasons, PlayStation 4,2020,68,#¡VALOR!
Marvel's Avengers, PC,2020,68,33
Rain of Reflections: Chapter 1, PC,2019,68,78
Effie, PlayStation 4,2019,68,68
Smoke and Sacrifice, PlayStation 4,2019,68,56
Re:ZERO - Starting Life in Another World: The Prophecy of the Throne, PlayStation 4,2021,68,68
Serious Sam 4, PC,2020,68,72
Arrog, PlayStation 4,2021,68,#¡VALOR!
Yupitergrad, PC,2020,68,83
Deliver Us The Moon, PC,2019,68,78
The Blind Prophet, PC,2020,68,75
Chronicle of Innsmouth: Mountains of Madness, PC,2021,68,76
The Occupation, PC,2019,68,41
City of Gangsters, PC,2021,68,80
Where the Heart Leads, PlayStation 4,2021,68,#¡VALOR!
Sniper Elite VR, PC,2021,68,73
Darius Cozmic Collection: Console, PlayStation 4,2020,68,#¡VALOR!
Close to the Sun, PlayStation 4,2019,68,53
Rocket Arena, PlayStation 4,2020,68,45
The Falconeer, PC,2020,68,51
Dry Drowning, PC,2019,68,79
Sniper Ghost Warrior Contracts 2, PlayStation 4,2021,68,69
MXGP 2019, PlayStation 4,2019,68,41
Shattered - Tale of the Forgotten King, PC,2021,68,#¡VALOR!
Wonder Boy: Asha in Monster World, PlayStation 4,2021,68,54
Stonefly, PlayStation 4,2021,68,#¡VALOR!
Chronos: Before the Ashes, PlayStation 4,2020,68,56
Port Royale 4, PC,2020,68,57
Argonus and the Gods of Stone, PC,2019,68,#¡VALOR!
Giga Wrecker Alt., PlayStation 4,2019,67,28
Milky Way Prince: The Vampire Star, PC,2020,67,85
MediEvil, PlayStation 4,2019,67,81
Edge Of Eternity, PC,2021,67,75
Song of Horror, PlayStation 4,2021,67,64
Crystar, PlayStation 4,2019,67,96
Disjunction, PC,2021,67,#¡VALOR!
Nelke & the Legendary Alchemists: Ateliers of the New World, PlayStation 4,2019,67,37
Katana Kami: A Way of the Samurai Story, PlayStation 4,2020,67,71
Say No! More, PC,2021,67,60
The Almost Gone, PC,2020,67,#¡VALOR!
Alex Kidd in Miracle World DX, PC,2021,67,79
Cobra Kai: The Karate Kid Saga Continues, PlayStation 4,2020,67,67
DOOM 3: VR Edition, PlayStation 4,2021,67,72
Nerve, PC,2021,67,#¡VALOR!
Port Royale 4, PlayStation 4,2020,67,#¡VALOR!
Outward, PC,2019,67,71
The Bradwell Conspiracy, PlayStation 4,2019,67,60
Marvel's Avengers, PlayStation 4,2020,67,49
Space Invaders Forever, PlayStation 4,2020,67,#¡VALOR!
"Warhammer 40,000: Mechanicus", PlayStation 4,2020,67,72
Total War: Three Kingdoms - Eight Princes, PC,2019,67,42
Rainswept, PC,2019,67,68
Medal of Honor: Above and Beyond, PC,2020,67,63
Mini-Mech Mayhem, PlayStation 4,2019,67,55
Siege Survival: Gloria Victis, PC,2021,67,60
Exit the Gungeon, PC,2020,67,66
Weedcraft Inc, PC,2019,67,69
Genesis Alpha One, PC,2019,67,48
Shenmue III, PlayStation 4,2019,67,77
RAGE 2, PlayStation 4,2019,67,60
Big Rumble Boxing: Creed Champions, PlayStation 4,2021,67,#¡VALOR!
Giraffe and Annika, PC,2020,67,69
Ministry of Broadcast, PC,2020,67,75
Help Will Come Tomorrow, PC,2020,67,71
Redeemer: Enhanced Edition, PlayStation 4,2019,67,73
World War Z, PlayStation 4,2019,67,62
Winds & Leaves, PlayStation 4,2021,67,#¡VALOR!
Chronos: Before the Ashes, PC,2020,67,64
Samurai Jack: Battle Through Time, PlayStation 4,2020,67,75
Interrogation: You will be deceived, PC,2019,67,76
Onimusha: Warlords, PC,2019,67,64
Biomutant, PC,2021,67,63
WE ARE FOOTBALL, PC,2021,67,#¡VALOR!
The Dark Crystal: Age of Resistance Tactics, PC,2020,67,61
Rust: Console Edition, PlayStation 4,2021,66,14
Encodya, PC,2021,66,78
Ghostbusters: The Video Game Remastered, PlayStation 4,2019,66,71
Aquanox Deep Descent, PC,2020,66,76
Maneater: Truth Quest, PC,2021,66,44
Paradise Lost, PlayStation 4,2021,66,65
Fairy Tail, PC,2020,66,52
American Fugitive, PC,2019,66,63
Kingdom Hearts III - Re Mind, PlayStation 4,2020,66,61
Close to the Sun, PC,2020,66,51
Battletoads, PC,2020,66,52
Truberbrook: A Nerd Saves the World, PC,2019,66,46
Rustler, PC,2021,66,52
ToeJam & Earl: Back in the Groove, PlayStation 4,2019,66,63
Someday You'll Return, PC,2020,66,81
The Magnificent Trufflepigs, PC,2021,66,48
JETT: The Far Shore, PC,2021,66,60
American Fugitive, PlayStation 4,2019,66,52
Company of Crime, PC,2020,66,#¡VALOR!
Riverbond, PlayStation 4,2019,66,53
Immortals Fenyx Rising: Myths of the Eastern Realm, PC,2021,65,50
Stronghold: Warlords, PC,2021,65,64
Ever Forward, PC,2020,65,69
Ash of Gods: Redemption, PlayStation 4,2020,65,70
Senran Kagura Burst Re:Newal, PlayStation 4,2019,65,49
Aragami 2, PC,2021,65,62
Torchlight III, PC,2020,65,31
Twin Mirror, PC,2020,65,57
Transient, PC,2020,65,53
Zool Redimensioned, PC,2021,65,#¡VALOR!
Might & Magic: Chess Royale, PC,2020,65,33
The Church in the Darkness, PC,2019,65,71
Sniper Elite V2 Remastered, PlayStation 4,2019,65,42
Blacksad: Under the Skin, PC,2019,65,77
AO Tennis 2, PC,2020,65,77
Orwell's Animal Farm, PC,2020,65,48
Rock of Ages 3: Make & Break, PlayStation 4,2020,65,62
The Bradwell Conspiracy, PC,2019,65,64
Genesis Alpha One, PlayStation 4,2019,65,43
Skelattack, PlayStation 4,2020,65,65
Stranded Deep, PlayStation 4,2020,65,40
Struggling, PC,2020,65,70
Conarium, PlayStation 4,2019,65,51
Sniper Ghost Warrior Contracts, PlayStation 4,2019,65,62
King's Bounty II, PC,2021,65,50
Redout: Space Assault, PC,2021,65,35
Dariusburst: Another Chronicle EX+, PlayStation 4,2021,65,#¡VALOR!
Blair Witch, PlayStation 4,2019,65,63
Metal Wolf Chaos XD, PC,2019,65,56
Dusk Diver, PlayStation 4,2019,64,72
Cloudpunk, PlayStation 4,2020,64,67
Warhammer Age of Sigmar: Storm Ground, PC,2021,64,46
Stonefly, PC,2021,64,#¡VALOR!
YIIK: A Postmodern RPG, PC,2019,64,28
Foregone, PlayStation 4,2020,64,77
Shadow Man: Remastered, PC,2021,64,73
Treachery in Beatdown City, PC,2020,64,#¡VALOR!
Xenon Racer, PC,2019,64,56
